,name,map,ndcg,ndcg_cut_10,ndcg_cut_25,mrt,map +,map -,map p-value,ndcg +,ndcg -,ndcg p-value,ndcg_cut_10 +,ndcg_cut_10 -,ndcg_cut_10 p-value,ndcg_cut_25 +,ndcg_cut_25 -,ndcg_cut_25 p-value
0,Coordinate Match (no classifier),0.44000637958614475,0.46639041035409134,0.3596309011055784,0.41020013470387245,7.010540000010224,,,,,,,,,,,,
1,Untuned BM25 (no classifier),0.35564459109472357,0.43655294982522025,0.3124277711377199,0.3693416393155855,3.9917199999763397,2.0,14.0,0.008671076969068624,5.0,12.0,0.19105991674552858,6.0,10.0,0.09371794138683086,6.0,10.0,0.12529947782044537
2,Tuned BM25 (no classifier),0.3642619347008226,0.4405932496907162,0.3140528042855363,0.37941601176149187,43.97564999999304,3.0,13.0,0.016917789941173586,5.0,12.0,0.2567229032112537,5.0,11.0,0.1112523736625617,5.0,11.0,0.21011636348279553
3,Coordinate Match (classifier appended to text),0.44000637958614475,0.46639041035409134,0.3596309011055784,0.41020013470387245,3.1446949999917706,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
4,Untuned BM25 (classifier appended to text),0.35564459109472357,0.43655294982522025,0.3124277711377199,0.3693416393155855,3.0588849999730883,2.0,14.0,0.008671076969068624,5.0,12.0,0.19105991674552858,6.0,10.0,0.09371794138683086,6.0,10.0,0.12529947782044537
5,Tuned BM25 (classifier appended to text),0.3642619347008226,0.4405932496907162,0.3140528042855363,0.37941601176149187,39.0653100000236,3.0,13.0,0.016917789941173586,5.0,12.0,0.2567229032112537,5.0,11.0,0.1112523736625617,5.0,11.0,0.21011636348279553
6,Tuned BM25 with query expansion,0.42979612298319375,0.5189869057470672,0.31390826448116055,0.40094166178456153,103.94892999993317,8.0,8.0,0.8501348329249775,9.0,8.0,0.24035405577339108,7.0,10.0,0.20770610504582634,9.0,8.0,0.7579863868447809
7,Tuned BM25 with query expansion and TFIDF classifier text search,0.43891537978992795,0.6075656816720537,0.5005117099634034,0.5265635004946274,173.48563499999727,7.0,9.0,0.98572370489485,12.0,5.0,0.009083827235423813,13.0,4.0,0.015038391789718152,11.0,6.0,0.03299505572420678
8,Tuned BM25 with query expansion and BM25 classifier text search,0.4403380660481905,0.6069262203416979,0.49514337502061834,0.5251890623303429,160.8140049999747,7.0,9.0,0.9956589260392845,12.0,5.0,0.009193060409451942,13.0,4.0,0.01606608337947468,11.0,6.0,0.03449782231179318
